results10_10_1_10000_1	412.386667	18.337498
results10_10_1_10000_2	907.774	1358.648457
results10_10_1_10000_3	1238.078	1188.413958
results10_10_1_10000_4	1202.306	1181.763443
results10_10_1_10000_5	1115.262667	1071.381107
results10_10_1_10000_6	1050.973333	1088.356407
results10_10_1_10000_7	1049.11	1086.666993
results10_10_1_10000_8	1045.664	1068.894689
results10_10_1_10000_9	1011.166667	1046.128654
results10_10_1_10000_10	1058.431	1111.477784
results11_11_1_10000_1	3894.871	3563.585525
results11_11_1_10000_2	4946.988	3336.748657
results11_11_1_10000_3	5482.967	2974.1425
results11_11_1_10000_4	5509.224	3019.958821
results11_11_1_10000_5	5428.745	3007.388108
results11_11_1_10000_6	5375.529	2986.411755
results11_11_1_10000_7	5235.9	2953.479529
results11_11_1_10000_8	5150.969	2995.426993
results11_11_1_10000_9	4974.134	3006.327386
results11_11_1_10000_10	4602.618	2888.133499
results12_12_1_10000_1	12	0
results12_12_1_10000_2	5874.487	3037.664748
results12_12_1_10000_3	5885.274	2979.837255
results12_12_1_10000_4	5876.67	2982.093221
results12_12_1_10000_5	5854.733	2957.324275
results12_12_1_10000_6	5698.12	2987.79317
results12_12_1_10000_7	5600.745	2999.522357
results12_12_1_10000_8	5482.796	2989.488556
results12_12_1_10000_9	5568.721	2953.772223
results12_12_1_10000_10	5586.482	3018.571286
results13_13_1_10000_1	6934.02	3098.038766
results13_13_1_10000_2	6881.12	2939.700139
results13_13_1_10000_3	7231.656	2736.848652
results13_13_1_10000_4	6927.57	2840.370963
results13_13_1_10000_5	7181.954	2739.294644
results13_13_1_10000_6	6812.348	2877.902762
results13_13_1_10000_7	7010.96	2754.34316
results13_13_1_10000_8	6856.816	2787.31267
results13_13_1_10000_9	7052.806	2917.240489
results13_13_1_10000_10	6876.73	2830.89477
results14_14_1_10000_1	5557.726	3151.383166
results14_14_1_10000_2	6445.762	2822.175244
results14_14_1_10000_3	6749.988	2815.94987
results14_14_1_10000_4	6574.74	2821.276489
results14_14_1_10000_5	6529.566	2788.219261
results14_14_1_10000_6	6662.19	2736.670538
results14_14_1_10000_7	6845.554	2800.612601
results14_14_1_10000_8	6659.626	2770.308159
results14_14_1_10000_9	6686.982	2837.13585
results14_14_1_10000_10	6590.086	2859.840681
results15_15_1_10000_1	5850.24	3038.653459
results15_15_1_10000_2	6078.456	2750.640593
results15_15_1_10000_3	6282.658	2755.028729
results15_15_1_10000_4	6119.446	2762.91131
results15_15_1_10000_5	5951.34	2763.031104
results15_15_1_10000_6	6060.08	2791.036767
results15_15_1_10000_7	6046.922	2695.395945
results15_15_1_10000_8	5588.698	2719.647998
results15_15_1_10000_9	5902.834	2675.615447
results15_15_1_10000_10	5766.438	2638.380994
